edf_file,channel_index,channel_name,channel_type,sampling_frequency,n_channels,duration_sec,meas_date
4_(1).edf,1,PLMl,unknown,256.0,62,35967.99609375,2025-02-08 21:19:07+00:00
4_(1).edf,2,PLMr,unknown,256.0,62,35967.99609375,2025-02-08 21:19:07+00:00
3_(1).edf,1,PLMl,unknown,256.0,62,35985.99609375,2025-02-05 20:22:17+00:00
3_(1).edf,2,PLMr,unknown,256.0,62,35985.99609375,2025-02-05 20:22:17+00:00
2_(1).edf,31,PLMl,unknown,256.0,62,35417.99609375,2025-01-29 20:32:55+00:00
2_(1).edf,33,PLMr,unknown,256.0,62,35417.99609375,2025-01-29 20:32:55+00:00
1_(1).edf,1,PLMl,unknown,256.0,62,25512.99609375,2025-01-27 22:17:20+00:00
1_(1).edf,2,PLMr,unknown,256.0,62,25512.99609375,2025-01-27 22:17:20+00:00
